Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2024-01-01T10:58:44.809531Z,,CUSTODY FEE,,,-$0.09,USD,0.0449
2024-01-03T18:56:25.588416Z,WMT,DIVIDEND,,,$0.32,USD,0.0444
2024-01-09T14:48:38.314030Z,,CASH TOP-UP,,,$111.13,USD,0.0447
2024-01-09T14:50:20.790Z,AXON,BUY - MARKET,0.2399712,$250.03,$60,USD,0.0447
2024-01-10T14:30:01.222Z,AAPL,BUY - MARKET,0.27322552,$184.28,$51.60,USD,0.0447
2024-01-12T14:15:23.139271Z,,CASH TOP-UP,,,$0.01,USD,0.0445
2024-01-12T14:16:13.649752Z,,CASH TOP-UP,,,$132.82,USD,0.0445
2024-01-12T14:30:00.571Z,MSFT,BUY - MARKET,0.34137608,$385.44,$132.83,USD,0.0445
2024-01-15T18:33:06.128123Z,,CASH TOP-UP,,,$0.01,USD,0.0445
2024-01-15T18:33:42.449849Z,,CASH TOP-UP,,,$132.69,USD,0.0445
2024-01-16T14:30:01.823Z,COST,BUY - MARKET,0.19244846,$683.04,$132.70,USD,0.0442
2024-02-01T05:45:19.597627Z,,CUSTODY FEE,,,-$0.14,USD,0.0437
2024-02-06T17:22:48.897747Z,,CASH TOP-UP,,,$0.15,USD,0.0432
2024-02-06T17:23:43.305051Z,,CASH TOP-UP,,,$72.95,USD,0.0432
2024-02-06T17:24:48.759Z,AAPL,BUY - MARKET,0.38636724,$188.81,$72.95,USD,0.0432
2024-02-12T09:24:28.322094Z,MA,DIVIDEND,,,$0.15,USD,0.0429
2024-02-15T09:56:22.450483Z,,CASH TOP-UP,,,$105.33,USD,0.0423
2024-02-15T14:30:00.551Z,NVDA,BUY - MARKET,0.0599594,$739,$45.50,USD,0.0426
2024-02-15T14:33:34.913Z,EPAM,BUY - MARKET,0.20282758,$290,$60.01,USD,0.0426
2024-02-16T23:06:14.720179Z,AAPL,DIVIDEND,,,$0.18,USD,0.0425
2024-02-19T15:49:50.894036Z,,CASH TOP-UP,,,"$1,000",USD,0.0424
2024-02-19T15:55:17.671435Z,,CASH TOP-UP,,,$465,USD,0.0424
2024-02-19T15:55:32.752746Z,,CASH TOP-UP,,,$4,USD,0.0424
2024-02-19T15:56:55.054798Z,,CASH TOP-UP,,,$0.20,USD,0.0424
2024-02-20T10:09:40.978447Z,COST,DIVIDEND,,,$0.16,USD,0.0425
2024-02-20T14:30:19.032Z,PATH,BUY - MARKET,8.11510204,$24.50,$200.01,USD,0.0427
2024-02-20T14:30:30.208Z,AMZN,BUY - MARKET,1.78134128,$167.75,$300.01,USD,0.0427
2024-02-20T14:30:36.491Z,BRK.B,BUY - MARKET,1.15179472,$406.47,$469.36,USD,0.0427
2024-02-20T14:50:38.693Z,MSFT,BUY - MARKET,1.24673247,$400.15,$500.13,USD,0.0428
2024-02-21T17:39:27.708Z,CMG,SELL - MARKET,0.03874873,"$2,560.34",$97.99,USD,0.0428
2024-02-21T17:40:54.756Z,GOOGL,BUY - MARKET,0.6809708,$142.15,$98,USD,0.0428
2024-02-22T22:19:22.661372Z,,CASH TOP-UP,,,$0.01,USD,0.0428
2024-02-26T10:39:43.787167Z,WMT,STOCK SPLIT,1.35596306,,$0,USD,0.0429
2024-03-01T18:07:52.314419Z,,CASH TOP-UP,,,$85,USD,0.0429
2024-03-01T18:09:24.880Z,AMD,BUY - MARKET,0.42322246,$200.84,$85,USD,0.0429
2024-03-01T19:59:26.132648Z,,CASH TOP-UP,,,$42.63,USD,0.0429
2024-03-01T20:00:30.583Z,AMD,BUY - MARKET,0.21107095,$201.97,$42.63,USD,0.0429
2024-03-04T10:26:30.129120Z,,CASH TOP-UP,,,$150,USD,0.043
2024-03-04T14:30:01.157Z,NVDA,BUY - MARKET,0.17823193,$841.60,$150,USD,0.0429
2024-03-04T16:08:03.548439Z,V,DIVIDEND,,,$0.18,USD,0.043
2024-03-14T15:41:38.967573Z,,CASH TOP-UP,,,$108,USD,0.0433
2024-03-14T15:55:00.207Z,BAC,BUY - MARKET,3.0234768,$35.78,$108.18,USD,0.0433
2024-03-15T14:23:16.724107Z,MSFT,DIVIDEND,,,$0.26,USD,0.0435
2024-03-18T08:53:00.692901Z,,CASH TOP-UP,,,$86.52,USD,0.0434
2024-03-18T13:30:04.694Z,AMD,BUY - MARKET,0.4496373,$193,$86.78,USD,0.0434
2024-03-21T18:25:46.244383Z,,CASH TOP-UP,,,$63,USD,0.0431
2024-03-21T18:39:09.386Z,AAPL,BUY - MARKET,0.36844259,$170.99,$63,USD,0.0431
2024-03-27T12:56:46.327314Z,META,DIVIDEND,,,$0.17,USD,0.0429
2024-04-02T17:54:32.414743Z,WMT,DIVIDEND,,,$0.36,USD,0.0427
2024-04-14T05:01:56.794147Z,,CASH TOP-UP,,,$105,USD,0.0421
2024-04-15T13:30:00.682Z,AXON,BUY - MARKET,0.33555915,$314.49,$105.53,USD,0.0422
2024-05-10T09:13:16.620495Z,MA,DIVIDEND,,,$0.15,USD,0.0434
2024-05-13T09:20:40.093150Z,COST,DIVIDEND,,,$0.19,USD,0.0436
2024-05-15T17:14:54.821830Z,,CASH TOP-UP,,,$109,USD,0.0441
2024-05-15T17:15:43.734Z,META,BUY - MARKET,0.22952746,$476.37,$109.34,USD,0.0441
2024-05-17T11:22:58.133894Z,AAPL,DIVIDEND,,,$0.26,USD,0.044
2024-05-29T09:29:31.014616Z,WMT,DIVIDEND,,,$0.36,USD,0.0441
2024-06-04T09:53:50.479470Z,V,DIVIDEND,,,$0.18,USD,0.0441
2024-06-10T12:56:18.581066Z,NVDA,STOCK SPLIT,2.14372197,,$0,USD,0.0438
2024-06-14T10:51:46.652530Z,MSFT,DIVIDEND,,,$1.05,USD,0.0434
2024-06-18T12:23:40.455199Z,GOOGL,DIVIDEND,,,$0.20,USD,0.0434
2024-06-27T07:41:03.769959Z,META,DIVIDEND,,,$0.27,USD,0.043
2024-07-01T11:37:59.728103Z,NVDA,DIVIDEND,,,$0.02,USD,0.043
2024-07-01T12:16:17.992372Z,BAC,DIVIDEND,,,$0.61,USD,0.043
2024-07-17T14:07:45.672996Z,,CASH TOP-UP,,,$107.78,USD,0.0434
2024-07-17T14:08:45.132Z,NVDA,BUY - MARKET,0.93168799,$118.85,$110.73,USD,0.0434
2024-08-06T07:06:52.440791Z,,CASH TOP-UP,,,$108,USD,0.0434
2024-08-06T13:30:01.440Z,META,BUY - MARKET,0.22546972,$479,$108,USD,0.0433
2024-08-12T08:40:33.844240Z,MA,DIVIDEND,,,$0.15,USD,0.0435
2024-08-12T08:43:13.150452Z,COST,DIVIDEND,,,$0.19,USD,0.0435
